Как называется еврейский Новый год?|Рош ха-Шана|Ханука|Йом Кипур|Кванза
Сколько синих полос на флаге США?|13|0|6|7
Кто из этих персонажей не дружит с Гарри Поттером?|Драко Малфой|Гермиона Грейнджер|Рон Уизли|Невилл Лонгботтом
Какое животное не фигурирует в китайском зодиаке?|Колибри|Дракон|Кролик|Собака
Какая планета самая горячая?|Меркурий|Марс|Венера|Сатурн
Как назывался корабль капитана Джека Воробья в "Пиратах Карибского моря"?|Черная жемчужина|Черный питон|Слизерин|Мародер
Какая самая редкая группа крови?|IV группа|I группа|II группа|III группа
Fe — это символ какого химического элемента?|Железо|Цинк|Водород|Фтор
На каком языке говорит больше всего людей на Земле?|китайский|испанский|арабский|английский
Сколько сердец у осьминога?|3|4|1|2
Какая планета в нашей Солнечной системе самая большая?|Юпитер|Сатурн|Нептун|Земля
Какой океан самый большой на Земле?|Тихий|Атлантический||Индийский|Северный Ледовитый
Кто нарисовал Мону Лизу?|Леонардо да Винчи|Винсент Ван Гог|Пабло Пикассо|Клод Моне
Как мы ещё называем хлорид натрия?|Соль|Сахар|Хлор|Отбеливатель
Сколько дней в феврале в високосный год?|28|29|30|31
Сколько градусов в круге?|360|180|150|90
Сколько существует книг о Гарри Поттере?|7|8|6|10
Как называется семейная стая львов?|Прайд|Отряд|Пакет|Стадо
Как звали женщину из греческой мифологии, у которой вместо волос были змеи?|Медуза|Пандора|Елена|Кассиопея
За какой приблизительный период Луна совершает полный оборот вокруг Земли?|27 дней|30 дней|365 дней|7 дней
Кто в греческой мифологии является царицей царства мёртвых?|Персефона|Пандора|Медуза|Елена
Какое животное ассоциируется с Древним Египтом?|Кот|Колибри|Кролик|Лев
Как мы ещё называем бикарбонат натрия?|пищевая сода|уксус|соль|сахар
